id,intent,variations__0,variations__1,variations__2,variations__3,variations__4,variations__5,variations__6,variations__7,variations__8,variations__9,variations__10,variations__11,variations__12,variations__13,variations__14,variations__15,variations__16,variations__17,variations__18,variations__19,variations__20,variations__21,variations__22,variations__23,variations__24,variations__25,variations__26
1150,Why money is getting deducted from account?,Money is getting deducted from my account?,money is getting deducted as soon as i deposit ,Money is getting deducted from my account,why is my money getting deducted from my account,balance getting deducted from my account,money getting debited from my account ,Money is going away from my account,balance is going away from my account,balance is debiting from account,Money is getting deducted from account?,Why money is getting deducted from account?,Why money is getting deduct from account?,,,,,,,,,,,,,,,
1151,Credit limits for my account,Tell me about Limits,I want to know about Limits,Give me information about Limits,Details on Limits,Limits,Limits,Credit limits for my account,What are the limitations for my account,What are the limits for my account ,,,,,,,,,,,,,,,,,,
1153,How can I complete my Full KYC,Steps to complete my Full KYC,Process to complete my Full KYC,Guide me on how to complete my Full KYC,I want to complete my Full KYC please help,How can I complete my Full KYC,want to do full kyc,How can I complete my Full KYC,How can I set appointment for Full KYC,How can I complete my KYC,How to book appointment for full kyc,,,,,,,,,,,,,,,,,
1154,No one came for Full KYC,What should I do if No one visited my place for  Full KYC,To whom should I contact if No one visited my place for Full KYC,Please help me to complete my Full KYC as No one visited my place for Full KYC,No one visited my place to complete Full KYC,No one visited my place for Full KYC,No one visited my place for full kyc appointment,No one visited my place for full KYC appointment,No one visited my place even after booking an appointment,No one visited my place for full kyc appointment,No one visited to complete Full KYC,representative not coming,No one visited for Full KYC,No one came for Full KYC,,,,,,,,,,,,,,
1155,Can I do Full KYC online,online full kyc process,can i do full kyc online,how can i do full kyc online,can i do online full kyc,can i complete my kyc online,Can I do Full KYC online,,,,,,,,,,,,,,,,,,,,,
1156,How can I do transactions?,Can you tell me more about transactions,How can I do transactions?,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Where can I See my account details?,See my account details,Help me where can I See my account details,Can you tell where can I See my account details,Guide from where can i See my account details,Explain from where can I See my account details,Where can I See my account details?,Where is my account number,where is my ifsc code,what is my account number,what is my ifsc code,Where can I See my account details?,Where are account details?,where are my account details,Where can i see my account details,My account details?,I want to know my account details,,,,,,,,,,,
1159,PEP,What is PEP,Explain PEP,Elaborate PEP,Share details on PEP,Give information on PEP,PEP,,,,,,,,,,,,,,,,,,,,,
1167,Do I need to have current address proof for video KYC?,Is there a requirement to have the current address proof for video KYC?,Is it mandatory to provide current address proof for video KYC?,Should i provide the current address proof for video KYC?,Do I need to have current address proof for video KYC?,,,,,,,,,,,,,,,,,,,,,,,
1168,AllinCall App,What is AllinCall App?,Explain the AllinCall App,Elaborate the AllinCall App,Give details on the AllinCall App,Share information on the AllinCall App,Tell me about the AllinCall App,AllinCall App,How to download AllinCall App,How to download AllinCall app,,,,,,,,,,,,,,,,,,
1169,Open AllinCall,Initiate AllinCall,carry on with AllinCall,Open AllinCall,can i open a AllinCall bank open,how to open a AllinCall bank ,i want to open a AllinCall bank account,,,,,,,,,,,,,,,,,,,,,
1170,What is the method to find out folio numbers of all MF investments?,Tell me about the method to find out folio numbers of all MF investments,I want to know about the method to find out folio numbers of all MF investments,Give me information about the method to find out folio numbers of all MF investments,What are the things I need to know about the method to find out folio numbers of all MF investments,Details on the method to find out folio numbers of all MF investments,What is meant by the method to find out folio numbers of all MF investments,Meaning of the method to find out folio numbers of all MF investments,Can you explain the method to find out folio numbers of all MF investments,Clarify what is the method to find out folio numbers of all MF investments,I am confused about the method to find out folio numbers of all MF investments,What is the method to find out folio numbers of all MF investments?,,,,,,,,,,,,,,,,
1171,What is Full KYC?,What is Full KYC,can you tell me about full kyc,explain full kyc,details about full kyc,what are the things i need to know about full kyc,information about full kyc,what do you mean by full kyc,give me information on full kyc,what you meant by full kyc,information on full kyc,help me understand full kyc,tell me about full kyc,can you explain full kyc,What is Full KYC?,full kyc,,,,,,,,,,,,
1172,What are the benefits of Full KYC?,benefits of Full KYC,Pros for full kyc, What are the benefits of Full KYC?,full kyc benefits,advantages of full kyc,What are the benefits of Full KYC?,,,,,,,,,,,,,,,,,,,,,
1173,Charges for Full KYC,Please tell me about the charges of full KYC,help me with the charges of full KYC,Charges of full KYC,Cost for full KYC,how much cost for full KYC,i want to know the charges for full KYC,Charges for Full KYC,,,,,,,,,,,,,,,,,,,,
1174,How do I do fund transfer,transfer funds,Help me to transfer funds,guide me to transfer funds,Transfer funds,Want to transfer funds,Want to transfer money,,,,,,,,,,,,,,,,,,,,,
1175,How to apply for chequebook?,apply for chequebook,Help me to apply for chequebook,proess for applying for a chequebook,guide me to get a chequebook,How to apply for chequebook?,Check book,Cheque book,chequebook,checkboook,,,,,,,,,,,,,,,,,,
1176,Is there any charge for virtual debit card?,charges for virtual debit card,Do I have to pay for an virtual debt card,list charges for virtual debit card if any,am I bound to pay any charge while getting a virtual debt card,Is there any charge for virtual debit card?,,,,,,,,,,,,,,,,,,,,,,
1177,Do I get a free debit card with my AllinCall bank Account?,get a free debit card with my AllinCall bank Account,Can I get a free debit card with my AllinCall bank Account,with my AllinCall bank Account will I get a free debit card,getting a free debt card with my AllinCall bank account,Do I get a free debit card with my AllinCall bank Account?,Do I get a free ATM card with my AllinCall bank Account?,,,,,,,,,,,,,,,,,,,,,
1178,What is the limit for atm cash withdrawal in AllinCall bank account?,limit for atm cash withdrawal in AllinCall bank account,Tell me about limit for atm cash withdrawal in AllinCall bank account,I want to know about limit for atm cash withdrawal in AllinCall bank account,Give me information about limit for atm cash withdrawal in AllinCall bank account,What is the limit for atm cash withdrawal in AllinCall bank account?,What is the limit for atm cash withdrawal in AllinCall bank account?,What are the charges for ATM,What is ATM fee,,,,,,,,,,,,,,,,,,,
1179,Can I check my account details from AllinCall app?,check my account details from AllinCall app,Help me with is it possible for me to check my account details from AllinCall app,Guide me am I allowed to check my account details from AllinCall app,Tell me is it legit if i check check my account details from AllinCall app,Can I check my account details from AllinCall app?,,,,,,,,,,,,,,,,,,,,,,
1180,My account got blocked,What if my my account got blocked,What to do if my my account got blocked,account blocked,help me to unblock my account,My account got blocked ,My account got blocked,Mobile banking application got blocked,My account got block,why my MPIN is blocked,Why my mobile banking App is blocked,My account is block,,,,,,,,,,,,,,,,
1181,Can I get image debit card,get image debit card,is image debit card only for employee,help me with is it possible for me to get image debit card,Guide me with am I allowed to get image debit card,Tell me is it legit if I get image debit card,Can I get image debit card,how can I upgrade my debit card,,,,,,,,,,,,,,,,,,,,
1182,My debit card was stolen,Can you suggest what if My debit card was stolen,Answer me what if My debit card was stolen,Clarify what if My debit card was stolen,Details on what if My debit card was stolen,My debit card was stolen,my debit card was steal,larceny with my debit card,theft happened with my debit card,someone stole my debit card,What to do in case Debit card gets robbed ,What to do if my debit is stolen,What to do if my debit card is stolen,What to do if my card is stolen,What to do I lost my debit card,What to do if i forgot my debit card,How to deactivate debit card,What to do in case of debit card theft?,How to replace debit card,I want to block my card,Block debit card,How to deactivate debit card,how to disable debit card,How to switched off debit card,My debit card was lost,I forgot my debit card,I misplaced my debit card,How to place replacement request for debit card
1183,Fraud,deception,duplicity,cheat,scam,fraudulent,hoax,Fraud,Fraud transaction,Fraud has happened in my account,What should I do if I notice a fraud activity on my credit card,report fraud on credit card,,,,,,,,,,,,,,,,
1184,Where can I update my profile details (Email/Nominee),Where can I update my profile details,Help me Where can I update my profile details,Can you tell Where can I update my profile details,Guide from where can i find CD Ratio for my district,Explain from Where can I update my profile details,Where can I update my profile details,How to update email ID ,How to update PAN number,How to update nominee,How to change email ID,How to change Nominee,How to change nominee,how to change email ID,how to add nominee,how to add email ID,Where can I update my profile details (Email/Nominee),,,,,,,,,,,
1186,how do I create my UPI/VPA Id,Steps to create my UPI/VPA Id,Process to create my UPI/VPA Id,Guide me on how to create my UPI/VPA Id,I want to create my UPI/VPA Id please help,how do I create my UPI/VPA Id,UPI,Can you tell me details about  UPI/VPA Id,Can you tell me more about UPI/VPA Id,how do I create my UPI/VPA Id,What is UPI,What is VPA,Where can I find my UPI details,Where can I find my VPA details,,,,,,,,,,,,,,
1187,Who can open AllinCall account,What are the entities who can open AllinCall account.,Can i open an AllinCall account?,Who can open AllinCall account,,,,,,,,,,,,,,,,,,,,,,,,
1188,What is AllinCall bank?,Explain AllinCall bank,Give details on AllinCall bank,Tell me about AllinCall bank,Share information of AllinCall bank,What is AllinCall bank?,,,,,,,,,,,,,,,,,,,,,,
1189,Stop,optout,stop,Stop,,,,,,,,,,,,,,,,,,,,,,,,
1190,Account related queries,Account related queries,account related queries,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Debit Card related queries,Debit Card related queries,Debit Card related query,Debit Card related issues,,,,,,,,,,,,,,,,,,,,,,,,
1192,Login related queries,Login related queries,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Full KYC related queries,Full KYC related queries,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Can I deposit cash ?,Is it possible to deposit cash,I want to deposit cash can it be done,How can I deposit cash,Can I deposit cash?,Can I deposit cash ?,,,,,,,,,,,,,,,,,,,,,,
1200,Why is Full KYC necessary?,How Full KYC is important,Why Full KYC is important,Necessity of Full KYC,Why Full KYC is necessay,Why Full KYC is given priority,Why is Full KYC necessary?,Why is Full KYC necessary?,is full kyc compulsory,,,,,,,,,,,,,,,,,,,
1201,Where can see my account balance & transactions?,see my account balance,Help me where can I see my account balance,Can you tell where can I see my account balance,Guide from where can i see my account balance,Explain from where can I see my account balance,Where can see my account balance?,Where can see my account balance?,View recent transactions,Last transactions,Where can see my account balance & transactions?,Where can I see my transactions,,,,,,,,,,,,,,,,
1202,How can I make online payments through my AllinCall bank Account,Steps to make online payments through my AllinCall bank Account,Process to make online payments through my AllinCall bank Account,Guide me on how to make online payments through my AllinCall bank Account,I want to make online payments through my AllinCall bank Account please help,How can I make online payments through my AllinCall bank Account?,How can I make online payments through my AllinCall bank Account,,,,,,,,,,,,,,,,,,,,,
1203,How to Apply for Debit Card?,Apply for Debit Card,Help me to Apply for Debit Card,Can you tell how to Apply for Debit Card,guide me to Apply for Debit Card,Explain how to Apply for Debit Card,How to Apply for Debit Card?,How to Apply for Debit Card?,i need urgent Debit card,,,,,,,,,,,,,,,,,,,
1204,Can I apply for AllinCall Gold Loan online?,Can I apply for AllinCall Gold Loan online,Tell me about Can I apply for AllinCall Gold Loan online,I want to know about Can I apply for AllinCall Gold Loan online,Give me information about Can I apply for AllinCall Gold Loan online,Details on Can I apply for AllinCall Gold Loan online,Can you explain Can I apply for AllinCall Gold Loan online,Clarify Can I apply for AllinCall Gold Loan online,Can I apply for AllinCall Gold Loan online? ,,,,,,,,,,,,,,,,,,,
1205,Start,optin,start,Start,,,,,,,,,,,,,,,,,,,,,,,,
1207,Where is nearest branch or ATM,Nearest branch or ATM,nearest branch,nearest atm,Where is nearest branch or ATM,,,,,,,,,,,,,,,,,,,,,,,
1208,Where can I get my account statement?,Where can I get my account statement?,i want to know my account statement,estatement,get Estatement,Where can I get my account statement?,detailed summary statement,how to know if someone credited amount,Account transaction history,,,,,,,,,,,,,,,,,,,
1209,How can I Add money/transfer money to AllinCall bank Account?,How can I Add money to AllinCall bank Account?,i want to add money to my AllinCall bank account,add money in my account,How can I Add money/transfer money to AllinCall bank Account?,i can not credit my account what is solution,how to credit my account,no one can transfer money to me,Funding,,,,,,,,,,,,,,,,,,,
1218,How to apply for passbook?,How to apply for passbook?,I want to apply for passbook,i want passbook,passbook application,How to apply for passbook?,,,,,,,,,,,,,,,,,,,,,,
1219,Unhelpful,Unhelpful,bad bot,not helful ,bad experience,time waste,Miserable,pathetic,horrible ,,,,,,,,,,,,,,,,,,,
1220,Helpful,Helpful,Thank you ,Good bot,nice experience,awesome,good work,fantastic,wonderful,outstanding,Amazing,perfect,excellent ,,,,,,,,,,,,,,,
1221,Tell me a joke,Tell me a joke,joke,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Will you marry me,Will you marry me,marry me,,,,,,,,,,,,,,,,,,,,,,,,,
1223,How are you doing,How are you doing,All good,how is it going,,,,,,,,,,,,,,,,,,,,,,,,
1206,bye,bye,goodbye,see ya,tada,bye bye,byee,byeee,byeeee,good bye,see you,cya,,,,,,,,,,,,,,,,
1224,Are you serious,Are you serious,are you kidding,kidding a what,,,,,,,,,,,,,,,,,,,,,,,,
994,Hi,hello,yo,hey,hiii,hii,hey,Hi,hiiii,helloo,hellooo,,,,,,,,,,,,,,,,,
1002,What is the average monthly balance (AMB)?,Share details of the average monthly balance (AMB),Explain the average monthly balance (AMB),Tell me about the average monthly balance (AMB),Give information on the average monthly balance (AMB),What is the average monthly balance (AMB)?,What is minimum balance ,How much minimum balance i need to maintain,what is minimum balance requirement ,AMB,minimum balance update my ac,,,,,,,,,,,,,,,,,
1010,Documents for AllinCall bank,What are the Documents required to open AllinCall bank?,How to open AllinCall? What is needed along?,Tell me about the Documents needed to open AllinCall bank,Documents for AllinCall bank,,,,,,,,,,,,,,,,,,,,,,,
